Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN
1,57.806451612903224,RandomForest,none,none,none,0.6,0.1,0.6802746566791511,0.12558782849239292,6.0,4.0,263.0,54.0
1,57.806451612903224,IBk,none,none,none,0.34375,0.18333333333333332,0.5737515605493133,0.12780064014631934,11.0,21.0,246.0,49.0
1,57.806451612903224,NaiveBayes,none,none,none,0.3488372093023256,0.5,0.7288389513108614,0.24851691518358163,30.0,56.0,211.0,30.0
1,57.806451612903224,RandomForest,BestFirst(backward),none,none,0.5625,0.15,0.672378277153558,0.17294610151753007,9.0,7.0,260.0,51.0
1,57.806451612903224,IBk,BestFirst(backward),none,none,0.4,0.23333333333333334,0.6448813982521848,0.18447794528196512,14.0,21.0,246.0,46.0
1,57.806451612903224,NaiveBayes,BestFirst(backward),none,none,0.5625,0.3,0.7124843945068664,0.3022405121170552,18.0,14.0,253.0,42.0
1,57.806451612903224,RandomForest,none,SMOTE,none,0.47058823529411764,0.13333333333333333,0.6751248439450687,0.13794891741216134,8.0,9.0,258.0,52.0
1,57.806451612903224,IBk,none,SMOTE,none,0.34285714285714286,0.2,0.5779026217228465,0.135790061418202,12.0,23.0,244.0,48.0
1,57.806451612903224,NaiveBayes,none,SMOTE,none,0.3333333333333333,0.6,0.725749063670412,0.25214408233276153,36.0,72.0,195.0,24.0
1,57.806451612903224,RandomForest,none,none,SensitiveThreshold,0.48,0.2,0.6673220973782772,0.19552329098608567,12.0,13.0,254.0,48.0
1,57.806451612903224,IBk,none,none,SensitiveThreshold,0.34375,0.18333333333333332,0.5737515605493133,0.12780064014631934,11.0,21.0,246.0,49.0
1,57.806451612903224,NaiveBayes,none,none,SensitiveThreshold,0.25748502994011974,0.7166666666666667,0.7288389513108614,0.1491446603554228,43.0,124.0,143.0,17.0
1,57.806451612903224,RandomForest,BestFirst(backward),SMOTE,none,0.5,0.15,0.6794631710362048,0.1595990747879723,9.0,9.0,258.0,51.0
1,57.806451612903224,IBk,BestFirst(backward),SMOTE,none,0.4146341463414634,0.2833333333333333,0.6568664169787766,0.22051446258939053,17.0,24.0,243.0,43.0
1,57.806451612903224,NaiveBayes,BestFirst(backward),SMOTE,none,0.5384615384615384,0.35,0.714107365792759,0.3269418264543387,21.0,18.0,249.0,39.0
1,57.806451612903224,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.5428571428571428,0.31666666666666665,0.6710362047440699,0.3061976549413736,19.0,16.0,251.0,41.0
1,57.806451612903224,IBk,BestFirst(backward),none,SensitiveThreshold,0.4,0.23333333333333334,0.6448813982521848,0.18447794528196512,14.0,21.0,246.0,46.0
1,57.806451612903224,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.4642857142857143,0.43333333333333335,0.7124843945068664,0.3294886582083815,26.0,30.0,237.0,34.0
2,68.40247131509267,RandomForest,none,none,none,0.08333333333333333,0.02127659574468085,0.6893001299856332,-0.020606181854556017,1.0,11.0,300.0,46.0
2,68.40247131509267,IBk,none,none,none,0.19444444444444445,0.14893617021276595,0.5938633098447014,0.06183061146980591,7.0,29.0,282.0,40.0
2,68.40247131509267,NaiveBayes,none,none,none,0.125,0.0425531914893617,0.451358007799138,-0.003420427553443991,2.0,14.0,297.0,45.0
2,68.40247131509267,RandomForest,BestFirst(backward),none,none,0.18181818181818182,0.0425531914893617,0.6718546897448177,0.020172326406487473,2.0,9.0,302.0,45.0
2,68.40247131509267,IBk,BestFirst(backward),none,none,0.16666666666666666,0.10638297872340426,0.5855168639255661,0.03071203426816446,5.0,25.0,286.0,42.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),none,none,0.45454545454545453,0.10638297872340426,0.46969282342477936,0.129042067916878,5.0,6.0,305.0,42.0
2,68.40247131509267,RandomForest,none,SMOTE,none,0.125,0.0425531914893617,0.6680235342409523,-0.003420427553443991,2.0,14.0,297.0,45.0
2,68.40247131509267,IBk,none,SMOTE,none,0.1794871794871795,0.14893617021276595,0.5900663610864062,0.04962760858343755,7.0,32.0,279.0,40.0
2,68.40247131509267,NaiveBayes,none,SMOTE,none,0.16666666666666666,0.06382978723404255,0.44951084353834575,0.021132635091296623,3.0,15.0,296.0,44.0
2,68.40247131509267,RandomForest,none,none,SensitiveThreshold,0.10810810810810811,0.0851063829787234,0.6004994184853253,-0.023087914567195614,4.0,33.0,278.0,43.0
2,68.40247131509267,IBk,none,none,SensitiveThreshold,0.19444444444444445,0.14893617021276595,0.5938633098447014,0.06183061146980591,7.0,29.0,282.0,40.0
2,68.40247131509267,NaiveBayes,none,none,SensitiveThreshold,0.16666666666666666,0.06382978723404255,0.451358007799138,0.021132635091296623,3.0,15.0,296.0,44.0
2,68.40247131509267,RandomForest,BestFirst(backward),SMOTE,none,0.0625,0.0425531914893617,0.4795785728945748,-0.062356571971195304,2.0,30.0,281.0,45.0
2,68.40247131509267,IBk,BestFirst(backward),SMOTE,none,0.07142857142857142,0.06382978723404255,0.6314565232263802,-0.06448377158415135,3.0,39.0,272.0,44.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),SMOTE,none,0.0,0.0,0.4076417869603886,-0.025901025019287656,0.0,5.0,306.0,47.0
2,68.40247131509267,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.20512820512820512,0.1702127659574468,0.542587398234932,0.0760268416783423,8.0,31.0,280.0,39.0
2,68.40247131509267,IBk,BestFirst(backward),none,SensitiveThreshold,0.16666666666666666,0.10638297872340426,0.5855168639255661,0.03071203426816446,5.0,25.0,286.0,42.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.32432432432432434,0.2553191489361702,0.46969282342477936,0.19229901481537165,12.0,25.0,286.0,35.0
2,68.40247131509267,RandomForest,none,none,none,0.08333333333333333,0.02127659574468085,0.6893001299856332,-0.020606181854556017,1.0,11.0,300.0,46.0
2,68.40247131509267,IBk,none,none,none,0.19444444444444445,0.14893617021276595,0.5938633098447014,0.06183061146980591,7.0,29.0,282.0,40.0
2,68.40247131509267,NaiveBayes,none,none,none,0.125,0.0425531914893617,0.451358007799138,-0.003420427553443991,2.0,14.0,297.0,45.0
2,68.40247131509267,RandomForest,BestFirst(backward),none,none,0.18181818181818182,0.0425531914893617,0.6718546897448177,0.020172326406487473,2.0,9.0,302.0,45.0
2,68.40247131509267,IBk,BestFirst(backward),none,none,0.16666666666666666,0.10638297872340426,0.5855168639255661,0.03071203426816446,5.0,25.0,286.0,42.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),none,none,0.45454545454545453,0.10638297872340426,0.46969282342477936,0.129042067916878,5.0,6.0,305.0,42.0
2,68.40247131509267,RandomForest,none,SMOTE,none,0.125,0.0425531914893617,0.6680235342409523,-0.003420427553443991,2.0,14.0,297.0,45.0
2,68.40247131509267,IBk,none,SMOTE,none,0.1794871794871795,0.14893617021276595,0.5900663610864062,0.04962760858343755,7.0,32.0,279.0,40.0
2,68.40247131509267,NaiveBayes,none,SMOTE,none,0.16666666666666666,0.06382978723404255,0.44951084353834575,0.021132635091296623,3.0,15.0,296.0,44.0
2,68.40247131509267,RandomForest,none,none,SensitiveThreshold,0.10810810810810811,0.0851063829787234,0.6004994184853253,-0.023087914567195614,4.0,33.0,278.0,43.0
2,68.40247131509267,IBk,none,none,SensitiveThreshold,0.19444444444444445,0.14893617021276595,0.5938633098447014,0.06183061146980591,7.0,29.0,282.0,40.0
2,68.40247131509267,NaiveBayes,none,none,SensitiveThreshold,0.16666666666666666,0.06382978723404255,0.451358007799138,0.021132635091296623,3.0,15.0,296.0,44.0
2,68.40247131509267,RandomForest,BestFirst(backward),SMOTE,none,0.0625,0.0425531914893617,0.4795785728945748,-0.062356571971195304,2.0,30.0,281.0,45.0
2,68.40247131509267,IBk,BestFirst(backward),SMOTE,none,0.07142857142857142,0.06382978723404255,0.6314565232263802,-0.06448377158415135,3.0,39.0,272.0,44.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),SMOTE,none,0.0,0.0,0.4076417869603886,-0.025901025019287656,0.0,5.0,306.0,47.0
2,68.40247131509267,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.20512820512820512,0.1702127659574468,0.542587398234932,0.0760268416783423,8.0,31.0,280.0,39.0
2,68.40247131509267,IBk,BestFirst(backward),none,SensitiveThreshold,0.16666666666666666,0.10638297872340426,0.5855168639255661,0.03071203426816446,5.0,25.0,286.0,42.0
2,68.40247131509267,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.32432432432432434,0.2553191489361702,0.46969282342477936,0.19229901481537165,12.0,25.0,286.0,35.0
3,75.03311258278146,RandomForest,none,none,none,0.47619047619047616,0.25,0.8105712166172107,0.2748979687573298,10.0,11.0,326.0,30.0
3,75.03311258278146,IBk,none,none,none,0.25806451612903225,0.2,0.6877596439169139,0.146251080825133,8.0,23.0,314.0,32.0
3,75.03311258278146,NaiveBayes,none,none,none,0.5,0.175,0.8654673590504451,0.2161347333402637,7.0,7.0,330.0,33.0
3,75.03311258278146,RandomForest,BestFirst(backward),none,none,0.5263157894736842,0.25,0.8260014836795252,0.29049847994981437,10.0,9.0,328.0,30.0
3,75.03311258278146,IBk,BestFirst(backward),none,none,0.3333333333333333,0.25,0.7091246290801186,0.21425593997498976,10.0,20.0,317.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),none,none,0.48,0.3,0.8701409495548962,0.31317485003332596,12.0,13.0,324.0,28.0
3,75.03311258278146,RandomForest,none,SMOTE,none,0.4827586206896552,0.35,0.8192507418397627,0.34761321909424725,14.0,15.0,322.0,26.0
3,75.03311258278146,IBk,none,SMOTE,none,0.275,0.275,0.703486646884273,0.18894658753709215,11.0,29.0,308.0,29.0
3,75.03311258278146,NaiveBayes,none,SMOTE,none,0.47058823529411764,0.2,0.8676928783382789,0.2321029360623975,8.0,9.0,328.0,32.0
3,75.03311258278146,RandomForest,none,none,SensitiveThreshold,0.35384615384615387,0.575,0.7892062314540059,0.3531190926275994,23.0,42.0,295.0,17.0
3,75.03311258278146,IBk,none,none,SensitiveThreshold,0.25806451612903225,0.2,0.6877596439169139,0.146251080825133,8.0,23.0,314.0,32.0
3,75.03311258278146,NaiveBayes,none,none,SensitiveThreshold,0.5,0.2,0.8654673590504451,0.23961274707543362,8.0,8.0,329.0,32.0
3,75.03311258278146,RandomForest,BestFirst(backward),SMOTE,none,0.4411764705882353,0.375,0.7705489614243324,0.34117086345222014,15.0,19.0,318.0,25.0
3,75.03311258278146,IBk,BestFirst(backward),SMOTE,none,0.29411764705882354,0.25,0.7004451038575668,0.19143696878226996,10.0,24.0,313.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),SMOTE,none,0.5294117647058824,0.225,0.8917655786350148,0.2695613294252073,9.0,8.0,329.0,31.0
3,75.03311258278146,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.34328358208955223,0.575,0.8045252225519288,0.3425483861745618,23.0,44.0,293.0,17.0
3,75.03311258278146,IBk,BestFirst(backward),none,SensitiveThreshold,0.3333333333333333,0.25,0.7091246290801186,0.21425593997498976,10.0,20.0,317.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.46511627906976744,0.5,0.8701409495548962,0.41793831460270753,20.0,23.0,314.0,20.0
3,75.03311258278146,RandomForest,none,none,none,0.47619047619047616,0.25,0.8105712166172107,0.2748979687573298,10.0,11.0,326.0,30.0
3,75.03311258278146,IBk,none,none,none,0.25806451612903225,0.2,0.6877596439169139,0.146251080825133,8.0,23.0,314.0,32.0
3,75.03311258278146,NaiveBayes,none,none,none,0.5,0.175,0.8654673590504451,0.2161347333402637,7.0,7.0,330.0,33.0
3,75.03311258278146,RandomForest,BestFirst(backward),none,none,0.5263157894736842,0.25,0.8260014836795252,0.29049847994981437,10.0,9.0,328.0,30.0
3,75.03311258278146,IBk,BestFirst(backward),none,none,0.3333333333333333,0.25,0.7091246290801186,0.21425593997498976,10.0,20.0,317.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),none,none,0.48,0.3,0.8701409495548962,0.31317485003332596,12.0,13.0,324.0,28.0
3,75.03311258278146,RandomForest,none,SMOTE,none,0.4827586206896552,0.35,0.8192507418397627,0.34761321909424725,14.0,15.0,322.0,26.0
3,75.03311258278146,IBk,none,SMOTE,none,0.275,0.275,0.703486646884273,0.18894658753709215,11.0,29.0,308.0,29.0
3,75.03311258278146,NaiveBayes,none,SMOTE,none,0.47058823529411764,0.2,0.8676928783382789,0.2321029360623975,8.0,9.0,328.0,32.0
3,75.03311258278146,RandomForest,none,none,SensitiveThreshold,0.35384615384615387,0.575,0.7892062314540059,0.3531190926275994,23.0,42.0,295.0,17.0
3,75.03311258278146,IBk,none,none,SensitiveThreshold,0.25806451612903225,0.2,0.6877596439169139,0.146251080825133,8.0,23.0,314.0,32.0
3,75.03311258278146,NaiveBayes,none,none,SensitiveThreshold,0.5,0.2,0.8654673590504451,0.23961274707543362,8.0,8.0,329.0,32.0
3,75.03311258278146,RandomForest,BestFirst(backward),SMOTE,none,0.4411764705882353,0.375,0.7705489614243324,0.34117086345222014,15.0,19.0,318.0,25.0
3,75.03311258278146,IBk,BestFirst(backward),SMOTE,none,0.29411764705882354,0.25,0.7004451038575668,0.19143696878226996,10.0,24.0,313.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),SMOTE,none,0.5294117647058824,0.225,0.8917655786350148,0.2695613294252073,9.0,8.0,329.0,31.0
3,75.03311258278146,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.34328358208955223,0.575,0.8045252225519288,0.3425483861745618,23.0,44.0,293.0,17.0
3,75.03311258278146,IBk,BestFirst(backward),none,SensitiveThreshold,0.3333333333333333,0.25,0.7091246290801186,0.21425593997498976,10.0,20.0,317.0,30.0
3,75.03311258278146,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.46511627906976744,0.5,0.8701409495548962,0.41793831460270753,20.0,23.0,314.0,20.0
